Address,Days count,Type
0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,271,Contract
0x4da27a545c0c5b758a6ba100e3a049001de870f5,245,Contract
0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,163,Address
0xd75ea151a61d06868e31f8988d28dfe5e9df57b4,159,Contract
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,148,Address
0x4f6742badb049791cd9a37ea913f2bac38d01279,140,Address
0x26a78d5b6d7a7aceedd1e6ee3229b372a624d8b7,129,Address
0x5f65f7b609678448494de4c87521cdf6cef1e932,129,Contract
0x25f2226b597e8f9514b3f68f00f494cf4f286491,122,Contract
0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,106,Address
0xd551234ae421e3bcba99a0da6d736074f22192ff,105,Address
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,104,Address
0x564286362092d8e7936f0549571a803b203aaced,101,Address
0xe93381fb4c4f14bda253907b18fad305d799241a,92,Address
0x28c6c06298d514db089934071355e5743bf21d60,83,Address
0x85b931a32a0725be14285b66f1a22178c672d69b,79,Address
0x708396f17127c42383e3b9014072679b2f60b82f,78,Address
0x21a31ee1afc51d94c2efccaa2092ad1028285549,66,Address
0x317625234562b1526ea2fac4030ea499c5291de4,64,Contract
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,60,Address
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,57,Address
0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,56,Contract
0xffc97d72e13e01096502cb8eb52dee56f74dad7b,51,Contract
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,47,Contract
0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,47,Contract
0xa9fab8c398c7ce51f95fad7f1d691134024170f5,29,Address
0xc08d3b738bc4f55e81d51a395e60d5a4c69672f0,24,Address
0xdb38ae75c5f44276803345f7f02e95a0aeef5944,20,Contract
0xfa103c21ea2df71dfb92b0652f8b1d795e51cdef,17,Contract
0xf78f74a0f9104aa62864b93802260c3469167a9a,14,Address
0x46340b20830761efd32832a74d7169b29feb9758,14,Address
0x74de5d4fcbf63e00296fd95d33236b9794016631,13,Contract
0x9bc2f223026c252c8ef5f7f33f00f4bee21434b8,11,Address
0x0de845955e2bf089012f682fe9bc81dd5f11b372,10,Contract
0xbe368f7086b0f9e98af309be43afb02f40135eac,10,Address
0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,10,Contract
